地區,選區,姓名,教育程度,性別,性別_bin,出生年次,年齡,在位與否,原選區連任,推薦政黨,競爭激烈(Entropy),人口密度,政黨地位(上屆政黨得票率),有無臉書,臉書連結,PageRank,Density,Mutuality,Betweenness,Closeness,得票數,得票率,當選,政黨立場,泛藍,中立,泛綠,學歷等級
臺北市,6,羅智強,碩士,1,1,1959,65,0,0.0,中國國民黨,1.37,20521.39,0.343798167,1,https://www.facebook.com/debatelo/?locale=zh_TW,0.016154565,0.073033708,0.692307692,0.018268325,0.316485365,"87,973",0.5296,1,-1,1,0,0,3
臺北市,6,朱翊銘,學士,1,1,1981,43,0,0.0,台灣維新,1.37,20521.39,0.000534231,1,https://www.facebook.com/p/%E5%8F%B0%E5%8C%97%E5%B8%82%E5%A4%A7%E5%AE%89%E5%8D%80%E7%AB%8B%E5%A7%94%E5%80%99%E9%81%B8%E4%BA%BA%E6%9C%B1%E7%BF%8A%E9%8A%98-61554131006485/,0.00164168,0.06741573,0.0,0.0,0.0,660,0.004,0,0,0,1,0,2
臺北市,7,李承龍,學士,1,1,1947,77,0,0.0,中華愛國同心黨,1.45,15013.81,0.0,1,https://www.facebook.com/leechenlong/?locale=zh_TW,0.0,0.0,0.0,0.0,0.0,310,0.0018,0,0,0,1,0,2
臺北市,7,徐巧芯,學士,0,0,1978,46,0,0.0,中國國民黨,1.45,15013.81,0.343798167,1,https://www.facebook.com/HsuChiaoHsin/?locale=zh_TW,0.011814933,0.151685393,0.555555556,0.021043219,0.320569047,"89,727",0.5262,1,-1,1,0,0,2
臺北市,7,羅丹,學士,1,1,1981,43,0,0.0,台灣維新,1.45,15013.81,0.000534231,1,https://www.facebook.com/o59487o/?locale=zh_TW,0.002103742,0.06741573,0.083333333,0.003679212,0.012640449,"1,073",0.0063,0,0,0,1,0,2
臺北市,7,陳韋安,學士,1,1,1979,45,0,0.0,無,1.45,15013.81,0.0,1,https://www.facebook.com/TPP.D.Wayne/,0.00291119,0.0,0.0,0.0,0.192512222,"3,286",0.0193,0,0,0,1,0,2
臺北市,7,許淑華,博士,0,0,1962,62,0,0.0,民主進步黨,1.45,15013.81,0.3035542,1,https://www.facebook.com/shua0522/?locale=zh_TW,0.009953605,0.185393258,0.515151515,0.0166184,0.340330152,"76,113",0.4464,0,1,0,0,1,4
臺北市,8,劉佩玲,碩士,0,0,1974,50,0,0.0,台灣維新,1.77,7340.17,0.000534231,1,https://www.facebook.com/100086705443372/videos/1036327290923217/,0.001757971,0.0,0.0,0.0,0.005617978,"1,122",0.0061,0,0,0,1,0,3
臺北市,8,賴士葆,博士,1,1,1940,84,0,1.0,中國國民黨,1.77,7340.17,0.343798167,1,https://www.facebook.com/abao.tw/?locale=zh_TW,0.006287645,0.039325843,0.428571429,0.005380265,0.281519559,"87,099",0.4746,1,-1,1,0,0,4
臺北市,8,王閔生,學士,1,1,1964,60,0,0.0,民主進步黨,1.77,7340.17,0.3035542,1,https://www.facebook.com/iwangyou/?locale=zh_TW,0.004651186,0.123595506,0.454545455,0.000668724,0.298427641,"59,490",0.3242,0,1,0,0,1,2
臺北市,8,賴宣任,碩士,0,0,1975,49,0,0.0,小民參政歐巴桑聯盟,1.77,7340.17,0.0,0,,0.0,0.0,0.0,0.0,0.0,"6,374",0.0347,0,1,0,0,1,3
臺北市,8,夏萬浪,碩士,1,1,1941,83,0,0.0,無,1.77,7340.17,0.0,0,,0.0,0.0,0.0,0.0,0.0,761,0.0041,0,0,0,1,0,3
臺北市,8,張其祿,博士,1,1,1957,67,0,0.0,台灣民眾黨,1.77,7340.17,0.129403495,0,,0.0,0.0,0.0,0.0,0.0,"28,335",0.1544,0,0,0,1,0,4
